condition_index,condition_name,run_id,seed,structure,leader_style,population_size,max_iterations,adaptive_intimacy,use_rl_leader,num_interventions,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,mean_rl_reward,mean_rl_quality
1,,1,0,random,No_Intervention,11,235,True,True,0,-0.7122039130783067,-1.0,-0.20075274578409838,,
1,,2,1,random,No_Intervention,11,235,True,True,0,-0.18243690979265967,-0.5710109229700328,-0.05985575403930665,,
1,,3,2,random,No_Intervention,11,235,True,True,0,-0.7949501414972852,-1.0,-0.2642268051469684,,
1,,4,3,random,No_Intervention,11,235,True,True,0,-0.4689022570948415,-1.0,-0.05019375152031482,,
1,,5,4,random,No_Intervention,11,235,True,True,0,-0.01702011250386209,-0.02965294075543194,-0.0066936756528940475,,
1,,6,5,random,No_Intervention,11,235,True,True,0,-0.7581847532915151,-1.0,-0.31716919797064697,,
1,,7,6,random,No_Intervention,11,235,True,True,0,-0.2533133049516192,-0.4098249847017784,-0.1508397454753236,,
1,,8,7,random,No_Intervention,11,235,True,True,0,-0.7076791185993764,-1.0,-0.14868041296455464,,
1,,9,8,random,No_Intervention,11,235,True,True,0,-0.0010833415226264213,-0.0025211008390888627,-0.0006423117371874301,,
1,,10,9,random,No_Intervention,11,235,True,True,0,-0.660424988656365,-1.0,-0.1752062163560423,,
1,,11,10,random,No_Intervention,11,235,True,True,0,-0.8897028561821937,-1.0,-0.5958426650093469,,
1,,12,11,random,No_Intervention,11,235,True,True,0,-0.038046876429559166,-0.07984683446295342,-0.013624051071632812,,
1,,13,12,random,No_Intervention,11,235,True,True,0,-0.8349727959434559,-1.0,-0.26063823054213925,,
1,,14,13,random,No_Intervention,11,235,True,True,0,-0.7278180373516813,-1.0,-0.18187006869433767,,
1,,15,14,random,No_Intervention,11,235,True,True,0,-0.9386826419077179,-1.0,-0.7510220056429023,,
1,,16,15,random,No_Intervention,11,235,True,True,0,-0.765904129986746,-1.0,-0.09129707572165521,,
1,,17,16,random,No_Intervention,11,235,True,True,0,-0.7500959587628867,-1.0,-0.20975358066638553,,
1,,18,17,random,No_Intervention,11,235,True,True,0,-0.05156543629234175,-0.07623333329449881,-0.013947629342814374,,
1,,19,18,random,No_Intervention,11,235,True,True,0,-7.330488763109295e-06,-1.3688247481169841e-05,-6.931231778808861e-07,,
1,,20,19,random,No_Intervention,11,235,True,True,0,-0.024423813391786394,-0.04296332119489424,-0.009824844393228758,,
2,,21,0,random,High_Fully_Constrained,11,235,True,True,184,-0.6760096041308576,-0.9996880116481195,-0.15695105482200664,-0.0021088735972952547,-0.6432380444432256
2,,22,1,random,High_Fully_Constrained,11,235,True,True,0,-0.18243690979265967,-0.5710109229700328,-0.05985575403930665,-6.410119873872062e-05,-0.2239791684148421
2,,23,2,random,High_Fully_Constrained,11,235,True,True,195,-0.7619168726957354,-0.9996770453251823,-0.23687486322678347,-0.002471846405004905,-0.7395956182664024
2,,24,3,random,High_Fully_Constrained,11,235,True,True,0,-0.4689022570948415,-1.0,-0.05019375152031482,-0.0012963780777613043,-0.4845320699971431
2,,25,4,random,High_Fully_Constrained,11,235,True,True,0,-0.01702011250386209,-0.02965294075543194,-0.0066936756528940475,0.0010645270864182844,-0.0875112516366861
2,,26,5,random,High_Fully_Constrained,11,235,True,True,166,-0.6716602497381318,-0.9993238823281066,-0.2657229419393948,-0.0021546323112047717,-0.5771896771140705
2,,27,6,random,High_Fully_Constrained,11,235,True,True,0,-0.2533133049516192,-0.4098249847017784,-0.1508397454753236,-0.0002420589836213184,-0.20070190533214535
2,,28,7,random,High_Fully_Constrained,11,235,True,True,83,-0.6303007384180648,-1.0,-0.14580370082854877,-0.00201608738510777,-0.43406240193371376
2,,29,8,random,High_Fully_Constrained,11,235,True,True,0,-0.0010833415226264213,-0.0025211008390888627,-0.0006423117371874301,0.001223017043522016,-0.055914507280706335
2,,30,9,random,High_Fully_Constrained,11,235,True,True,210,-0.6394182049954609,-0.9976201103849414,-0.16456407865835096,-0.0017794044632603813,-0.6433271620789196
2,,31,10,random,High_Fully_Constrained,11,235,True,True,205,-0.8680457963398617,-0.9991451967332032,-0.5429963545107108,-0.0030077041352355454,-0.8292542034490336
2,,32,11,random,High_Fully_Constrained,11,235,True,True,0,-0.038046876429559166,-0.07984683446295342,-0.013624051071632812,0.0009673499502037619,-0.0757474464082856
2,,33,12,random,High_Fully_Constrained,11,235,True,True,201,-0.8141827659385978,-0.9992044818045489,-0.23463213490342794,-0.0024343936182235314,-0.7722148517024391
2,,34,13,random,High_Fully_Constrained,11,235,True,True,195,-0.6284497972760158,-0.998238518915497,-0.1594751044463353,-0.0017705922597995654,-0.6081784897067605
2,,35,14,random,High_Fully_Constrained,11,235,True,True,187,-0.8826585899519508,-0.9988208751095091,-0.6001676808245772,-0.003079055494917768,-0.7768750540653072
2,,36,15,random,High_Fully_Constrained,11,235,True,True,213,-0.7486470234245713,-0.9977134015061131,-0.08798068017352945,-0.0023844549983193645,-0.7426405825041144
